canton_id,canton,commune,prefecture,region,couverture_mobile,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_hab,ecoles_15km_hab,marches_nb,postes_nb,n_agents_mm
C01065188,Waragni,Blitta 1,Blitta,Centrale,100,64.84,0.16,336,2349,2294,2,0,7
C01065189,Blitta-Village,Blitta 1,Blitta,Centrale,100,87.42,99.43,6202,80611,79536,4,0,13
C01065190,Blitta,Blitta 1,Blitta,Centrale,100,70.56,92.31,12288,98303,95351,5,1,8
C01065191,Yaloumbè,Blitta 1,Blitta,Centrale,100,83.29,0,148,2966,2749,3,0,20
C01065192,Tchaloudè,Blitta 1,Blitta,Centrale,82.01,56.72,0,621,5109,5351,3,0,10
C01065193,Doufouli,Blitta 1,Blitta,Centrale,100,0,0,,1593,1486,1,0,0
C01066194,Tcharè-Baou,Blitta 2,Blitta,Centrale,64.78,29.61,0,2095,6247,7591,2,0,4
C01066195,Koffiti,Blitta 2,Blitta,Centrale,100,3.33,0,,4605,5232,2,0,0
C01066196,Langabou,Blitta 2,Blitta,Centrale,81.47,0.09,0,,8824,9804,2,0,0
C01066197,Agbandi,Blitta 2,Blitta,Centrale,71,35.62,0,1309,6291,5361,4,1,5
C02068208,Kagnigbara,Mô 1,Mô,Centrale,0,23.08,0,95,165,173,2,0,2
C02068209,Boulohou,Mô 1,Mô,Centrale,0,76.47,0,125,341,1002,3,0,9
C02068210,Djarkpanga,Mô 1,Mô,Centrale,0,64.94,0,165,1776,2126,2,1,14
C02069211,Saïboudè,Mô 2,Mô,Centrale,0,45.51,0,1266,1619,2360,2,0,2
C02069212,Tindjasse,Mô 2,Mô,Centrale,0,43.56,0,433,1835,1861,2,0,5
C03070213,Tabindè,Sotouboua 1,Sotouboua,Centrale,27.15,16.9,0,2791,5340,4860,6,0,2
C03070214,Sotouboua,Sotouboua 1,Sotouboua,Centrale,12.31,73.21,77.66,159,20051,21141,7,1,141
C03070215,Kaniamboua,Sotouboua 1,Sotouboua,Centrale,0,86.26,2.29,180,1402,1340,0,0,8
C03071216,Séssaro,Sotouboua 2,Sotouboua,Centrale,0,23.21,0,1431,8488,7040,7,0,6
C03071217,Tittigbe,Sotouboua 2,Sotouboua,Centrale,0,40.33,0,580,6379,5953,6,0,11
C03071218,Aouda,Sotouboua 2,Sotouboua,Centrale,0,29.44,0,407,10711,9617,4,0,28
C03071219,Adjengré,Sotouboua 2,Sotouboua,Centrale,0,83,0,143,8875,8798,5,1,62
C03071220,Fazao,Sotouboua 2,Sotouboua,Centrale,0,0,0,,0,7,0,0,0
C03072221,Kazaboua,Sotouboua 3,Sotouboua,Centrale,80.05,32.6,0,359,2661,4770,3,0,15
C03072222,Bodjondè,Sotouboua 3,Sotouboua,Centrale,100,61.26,0,302,1787,1538,2,0,6
C03072223,Tchébébé,Sotouboua 3,Sotouboua,Centrale,99.56,79.07,0,175,13138,12356,4,0,76
C04073224,Affem,Tchamba 1,Tchamba,Centrale,0,28.98,0,2821,10130,8175,2,0,4
C04073225,Alibi I,Tchamba 1,Tchamba,Centrale,1.04,28.56,13.13,3417,9949,7712,4,0,3
C04073226,Larini,Tchamba 1,Tchamba,Centrale,0,64.88,84.03,6583,17667,17889,1,0,3
C04073227,Kri-Kri,Tchamba 1,Tchamba,Centrale,0,64.38,0,2340,3954,4007,2,0,2
C04073228,Tchamba,Tchamba 1,Tchamba,Centrale,0,72.37,66.37,1150,30434,41077,2,1,40
C04074229,Bago,Tchamba 2,Tchamba,Centrale,0,30.5,0,826,19221,24311,3,0,44
C04074230,Koussountou,Tchamba 2,Tchamba,Centrale,0,44.53,8.2,588,15185,20282,2,1,41
C04075231,Balanka,Tchamba 3,Tchamba,Centrale,0,71.58,3.52,745,6850,7331,1,0,11
C04075232,Goubi,Tchamba 3,Tchamba,Centrale,0,34.66,0,1076,15281,12941,5,0,17
C04075233,Kaboli,Tchamba 3,Tchamba,Centrale,0,51.3,52.51,818,20569,23921,2,1,40
C05077239,Lama-Tessi,Tchaoudjo 2,Tchaoudjo,Centrale,80.99,54.42,0,564,25042,23025,12,0,45
C05076234,Tchalo,Tchaoudjo 1,Tchaoudjo,Centrale,100,76.48,40.41,401,8902,8486,2,0,23
C05076235,Kadambara,Tchaoudjo 1,Tchaoudjo,Centrale,61.4,38.17,32.38,357,18427,15945,4,0,56
C05076236,Kparataou,Tchaoudjo 1,Tchaoudjo,Centrale,86.45,68.49,1.12,257,13830,13476,4,0,66
C05076237,Sokodè (Komah),Tchaoudjo 1,Tchaoudjo,Centrale,100,97.03,97.58,96,82445,82369,6,1,862
C05076238,Kpangalam,Tchaoudjo 1,Tchaoudjo,Centrale,100,91.08,85.02,149,38698,37603,5,1,261
C05078243,Amaïde,Tchaoudjo 3,Tchaoudjo,Centrale,99.82,52.46,0,207,3423,3325,2,0,20
C05078241,Aléhéridè,Tchaoudjo 3,Tchaoudjo,Centrale,99.75,79.08,0,225,5934,5666,1,1,27
C05078242,Kolina,Tchaoudjo 3,Tchaoudjo,Centrale,100,64.05,0,348,4134,3673,3,0,13
C05078240,Kéméni,Tchaoudjo 3,Tchaoudjo,Centrale,100,68.88,0,225,930,936,1,0,5
C05079244,Wassarabo,Tchaoudjo 4,Tchaoudjo,Centrale,100,68.78,0,179,1428,1594,1,0,10
C05079245,Kpassaouade,Tchaoudjo 4,Tchaoudjo,Centrale,65.42,54.16,1.6,315,2317,2585,2,0,10
C05079246,Agouloudè,Tchaoudjo 4,Tchaoudjo,Centrale,41.77,40.66,0,529,5849,5766,4,0,13
