canton_id,region,prefecture,commune,canton,couverture_mobile_pct,mm_1km_pct,togocom_5km_pct,habitants_par_mm,marches_5km_habitants,ecoles_15km_habitants,marches_nb,postes_nb,n_banques,n_mfi,n_poste,n_distributeurs
B07050137,Plateaux,Haho,Haho 4,Kpegnon (Haito),69.08,39.97,0,1248,12919,13791,2,0,0,0,0,0
B07050138,Plateaux,Haho,Haho 4,Wahala,96.23,61.86,43.15,596,29628,45241,2,0,0,4,0,0
B08051139,Plateaux,Kloto,Kloto 1,Tové,100,88.95,90.71,1135,11348,10514,1,0,0,0,0,0
B08051140,Plateaux,Kloto,Kloto 1,Agome-Kpalime,100,98.76,99.87,241,88712,88228,2,1,5,7,1,6
B08051141,Plateaux,Kloto,Kloto 1,Yokélé,100,74.17,51.35,1442,7088,7924,0,0,0,0,0,0
B08051142,Plateaux,Kloto,Kloto 1,Tomé,100,14.99,0,4235,4824,7473,0,0,0,0,0,0
B08051143,Plateaux,Kloto,Kloto 1,Kpadapé,100,48.35,0,3046,8845,7100,2,0,0,0,0,0
B08051144,Plateaux,Kloto,Kloto 1,Womé,100,95.08,0,613,5878,6100,0,0,0,0,0,0
B08051145,Plateaux,Kloto,Kloto 1,Gbalabé,100,92.47,79.57,123,738,714,1,0,0,0,0,0
B08051146,Plateaux,Kloto,Kloto 1,Hanyigba,100,100,83.81,167,833,833,2,0,0,0,0,0
B08052147,Plateaux,Kloto,Kloto 2,Lavié,100,69.78,0.73,371,7706,7295,1,0,0,0,0,0
B08052148,Plateaux,Kloto,Kloto 2,Lavié-Apédomé,100,51.36,0,639,5783,5799,1,0,0,1,0,0
B08052149,Plateaux,Kloto,Kloto 2,Kpimé,100,77.26,0,331,8615,8303,3,0,0,0,0,0
B08053150,Plateaux,Kloto,Kloto 3,Agomé-Yoh,100,85.71,19.05,416,833,825,0,0,0,0,0,0
B08053151,Plateaux,Kloto,Kloto 3,Agomé-Tomégbé,100,68.26,0,554,3324,3324,3,0,0,1,0,0
B08053152,Plateaux,Kloto,Kloto 3,Kouma,100,90.88,0,314,8790,6759,2,0,0,1,0,0
B09055157,Plateaux,Kpélé,Kpélé 2,Kpélé-Nord,100,52.81,0,389,9295,7880,3,1,0,2,1,0
B09055158,Plateaux,Kpélé,Kpélé 2,Kpélé-Dutoé,100,59.06,0,691,3455,3113,0,0,0,0,0,0
B09055159,Plateaux,Kpélé,Kpélé 2,Kpélé-Kamé,100,59.4,0,396,8225,7357,3,0,0,0,0,0
B09055160,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,100,69.79,0,395,3552,3308,0,0,0,0,0,0
B09055161,Plateaux,Kpélé,Kpélé 2,Kpélé-Centre,99.39,49.01,23.96,560,4642,5874,1,0,0,1,0,0
B09054153,Plateaux,Kpélé,Kpélé 1,Kpélé-Govié,86.26,33.91,39.06,726,10372,8210,1,0,0,0,0,0
B09054154,Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,89.47,74.93,70.17,197,29516,26403,9,1,1,4,1,1
B09054155,Plateaux,Kpélé,Kpélé 1,Kpélé-Akata,100,60.67,0,517,7757,6709,3,0,0,0,0,0
B09054156,Plateaux,Kpélé,Kpélé 1,Kpélé-Dawlotou,63.58,21.14,0,3036,8376,8863,5,0,0,0,0,0
