region,prefecture,commune,canton,nom,lat,lon,type_service
Plateaux,Haho,Haho 1,Notsé,FUCEC Togo Adimé,6.94846,1.17116,microfinance
Plateaux,Haho,Haho 1,Notsé,WAGES Notse,6.94837,1.1689,microfinance
Plateaux,Haho,Haho 1,Notsé,COECEPT Notsé,6.94739,1.1749,microfinance
Plateaux,Haho,Haho 1,Notsé,FINAM Notsé,6.94699,1.17495,microfinance
Plateaux,Haho,Haho 1,Notsé,CERCIF Notsé,6.94684,1.17493,microfinance
Plateaux,Kpélé,Kpélé 1,Kpélé-Novivé,CECAV Fidelite Bodzé,7.08973,0.91045,microfinance
Plateaux,Haho,Haho 1,Notsé,Rhema Notsé,6.94854,1.16999,microfinance
Plateaux,Haho,Haho 1,Hahomégbé,SPEC OIC Togo Hahomegbé,6.93249,1.02688,microfinance
Plateaux,Agou,Agou 1,Gadja,COOPEC CFAE,6.79521,0.79652,microfinance
Plateaux,Agou,Agou 1,Gadja,CECAV Espoir Avetonou,6.79603,0.79533,microfinance
Plateaux,Haho,Haho 2,Asrama,COOPEC AD Asrama,7.00334,1.40593,microfinance
Plateaux,Haho,Haho 2,Asrama,SPEC OIC Asrama,7.00301,1.40365,microfinance
Plateaux,Agou,Agou 1,Kati,CECAV Espoir de Kati,6.89052,0.84901,microfinance
Plateaux,Ogou,Ogou 1,Gnagna,COOPEC Novissi de Lomnava,7.52437,1.12875,microfinance
Plateaux,Anié,Anié 1,Anié,COOPEC Ilema d'Assigamé,7.76074,1.19352,microfinance
Plateaux,Ogou,Ogou 1,Gnagna,Microfinance dekawowo,7.5302,1.12393,microfinance
Plateaux,Amou,Amou 1,Amlamé (Ouma),Trésorerie d'Amlame,7.46914,0.9061,microfinance
Plateaux,Danyi,Danyi 2,Danyi-Elavagnon,FECECAV Duamenyo Elavanyo,7.28161,0.70554,microfinance
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Papri,UMECTO Papri,10.99299,0.42381,microfinance
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,Namoundjoga,FUCEC Togo Namondjoga,10.89379,0.39398,microfinance
